tour,year,official_tournament_id,group_name,level,title,surface,in_outdoor,city,country,singles_draw_size,doubles_draw_size,prize_money,start_date,end_date,singles_champion
wta,2024,4574,MONASTIR 42,ITF,"ITF W15 - MONASTIR 42, TUNISIA",Hard,O,,TUNISIA,32,16,15000,2024-10-14,2024-10-20,Nina Radovanovic
wta,2024,4576,MONASTIR 43,ITF,"ITF W15 - MONASTIR 43, TUNISIA",Hard,O,,TUNISIA,32,16,15000,2024-10-21,2024-10-27,Daria Yesypchuk
wta,2024,4581,NAPLES 2,ITF,"ITF/USTA W35 - NAPLES 2, FLORIDA, USA",Clay,O,,UNITED STATES,32,16,25000,2024-01-15,2024-01-21,Marie Benoit
wta,2024,4582,BENGALURU,ITF,"ITF W50 - BENGALURU, INDIA",Hard,O,,INDIA,32,16,40000,2024-01-15,2024-01-21,Darja Semenistaja
wta,2024,4585,SANTO DOMINGO 3,ITF,"ITF $25,000 - SANTO DOMINGO 3, DOMINICAN REPUBLIC",Hard,O,,DOMINICAN REPUBLIC,64,16,25000,2024-05-20,2024-05-26,Victoria Hu
wta,2024,4586,MONASTIR 47,ITF,"ITF W15 - MONASTIR 47, TUNISIA",Hard,O,,TUNISIA,32,16,15000,2024-11-18,2024-11-24,Mathilde Lollia
wta,2024,4588,SANTO DOMINGO 4,ITF,"ITF W35- SANTO DOMINGO 4, DOMINICAN REPUBLIC",Clay,O,,DOMINICAN REPUBLIC,64,16,25000,2024-05-27,2024-06-02,Victoria Hu
wta,2024,4589,MONASTIR 48,ITF,"ITF W15 - MONASTIR 48, TUNISIA",Hard,O,,TUNISIA,32,16,15000,2024-11-25,2024-12-01,Sakura Hosogi
wta,2024,4592,NAVI MUMBAI,ITF,"ITF W50 - NAVI MUMBAI, INDIA",Hard,O,,INDIA,32,16,40000,2024-12-16,2024-12-22,Priska Nugroho
wta,2024,4594,TUCUMAN 2,ITF,"ITF W50 - TUCUMAN 2, ARGENTINA",Clay,O,,ARGENTINA,64,16,40000,2024-09-16,2024-09-22,Solana Sierra
wta,2024,4596,GURUGRAM,ITF,"ITF W35 - GURUGRAM, INDIA",Hard,O,,INDIA,32,16,25000,2024-02-26,2024-03-03,Justina Mikulskyte
wta,2024,4598,NAGPUR,ITF,"ITF W35 - NAGPUR, INDIA",Clay,O,,INDIA,32,16,25000,2024-03-04,2024-03-10,Dalila Jakupovic
wta,2024,4599,ANAPOIMA,ITF,"ITF W35 - ANAPOIMA, COLOMBIA",Clay,O,,COLOMBIA,32,16,25000,2024-04-29,2024-05-05,Daria Lodikova
wta,2024,4609,ANNENHEIM,ITF,"ITF/TENNIS EUROPE W35 - ANNENHEIM, AUSTRIA",Clay,O,,AUSTRIA,32,16,25000,2024-05-20,2024-05-26,Marie Benoit
wta,2024,4611,KRSKO,ITF,"ITF/TENNIS EUROPE W15 - KRSKO, SLOVENIA",Clay,O,,SLOVENIA,32,16,15000,2024-07-15,2024-07-21,Eszter Meri
wta,2024,4617,NORGES-LA-VILLE,ITF,"ITF/TENNIS EUROPE W15 - NORGES-LA-VILLE, FRANCE",Hard,O,,FRANCE,32,16,15000,2024-06-10,2024-06-16,Alina Granwehr
wta,2024,4620,SAN DIEGO 2,ITF,"ITF/USTA W15 - SAN DIEGO 2, CALIFORNIA",Hard,O,,UNITED STATES,32,16,15000,2024-06-03,2024-06-09,Sara Daavettila
wta,2024,4623,PORTO 3,ITF,"ITF/TENNIS EUROPE W75 - PORTO 3, PORTUGAL",Hard,I,,PORTUGAL,32,16,60000,2024-02-19,2024-02-25,Anna Bondar
wta,2024,4627,LOS ANGELES,ITF,"ITF/USTA W15- LOS ANGELES, CALIFORNIA",Hard,O,,UNITED STATES,32,16,15000,2024-06-24,2024-06-30,Sahaja  Yamalapalli
wta,2024,4632,CALOUNDRA,ITF,"ITF W50 - CALOUNDRA , AUSTRALIA",Hard,O,,AUSTRALIA,32,16,40000,2024-11-18,2024-11-24,Priscilla Hon
